K,Betha,Alpha,P,Q,PurePercent
3,0.5,0.015,0.08,0.008,31.4381923290766
3,0.5,0.015,0.08,0.016,18.7019057183847
3,0.5,0.015,0.08,0.024,13.6024381150223
3,0.5,0.015,0.08,0.032,11.1707516966599
3,0.5,0.015,0.08,0.04,10.2105410025523
3,0.5,0.015,0.08,0.048,9.71970888739298
3,0.5,0.015,0.08,0.056,8.7461330600403
3,0.5,0.015,0.08,0.064,7.71463294466475
3,0.5,0.015,0.08,0.072,8.36015881796867
3,0.5,0.015,0.08,0.08,7.0213316102395
3,0.5,0.015,0.09,0,100
3,0.5,0.015,0.09,0.009,24.6368467739546
3,0.5,0.015,0.09,0.018,14.7593985640965
3,0.5,0.015,0.09,0.027,13.1297190735731
3,0.5,0.015,0.09,0.036,9.45211221114408
3,0.5,0.015,0.09,0.045,8.35664753066614
3,0.5,0.015,0.09,0.054,8.15276612105078
3,0.5,0.015,0.09,0.063,6.28298362181119
3,0.5,0.015,0.09,0.072,7.71090336033021
3,0.5,0.015,0.09,0.081,7.33861647646783
3,0.5,0.015,0.09,0.09,6.65138058981485
3,0.5,0.015,0.1,0,100
3,0.5,0.015,0.1,0.01,22.2436602747887
3,0.5,0.015,0.1,0.02,13.7312133591375
3,0.5,0.015,0.1,0.03,10.3576886981695
3,0.5,0.015,0.1,0.04,8.80612634164061
3,0.5,0.015,0.1,0.05,8.01452767933929
3,0.5,0.015,0.1,0.06,7.07522139017064
3,0.5,0.015,0.1,0.07,6.08564630746716
3,0.5,0.015,0.1,0.08,5.986119102649
3,0.5,0.015,0.1,0.09,6.12251377255508
3,0.5,0.015,0.1,0.1,5.79324599622804
3,0.5,0.02,0.01,0,100
3,0.5,0.02,0.01,0.001,84.7001823966371
3,0.5,0.02,0.01,0.002,73.6073753360689
3,0.5,0.02,0.01,0.003,69.626609031716
3,0.5,0.02,0.01,0.004,60.95505471967
3,0.5,0.02,0.01,0.005,61.1894682136343
3,0.5,0.02,0.01,0.006,56.5491337529687
3,0.5,0.02,0.01,0.007,56.1772726766973
3,0.5,0.02,0.01,0.008,55.9570363199898
3,0.5,0.02,0.01,0.009,54.0943560035275
3,0.5,0.02,0.01,0.01,53.5138097431558
3,0.5,0.02,0.02,0,100
3,0.5,0.02,0.02,0.002,70.4995230067397
3,0.5,0.02,0.02,0.004,57.668176144512
3,0.5,0.02,0.02,0.006,49.6136584366812
3,0.5,0.02,0.02,0.008,46.5309074056758
3,0.5,0.02,0.02,0.01,42.6683704340984
3,0.5,0.02,0.02,0.012,36.6455774044184
3,0.5,0.02,0.02,0.014,40.0951650288038
3,0.5,0.02,0.02,0.016,37.2401059097497
3,0.5,0.02,0.02,0.018,36.4198187535839
3,0.5,0.02,0.02,0.02,34.2441132041797
3,0.5,0.02,0.03,0,100
3,0.5,0.02,0.03,0.003,62.9276129859485
3,0.5,0.02,0.03,0.006,43.2362975485056
3,0.5,0.02,0.03,0.009,39.0523413762387
